town,submarket_or_compound,listings,median_price,median_price_per_sqm,property_types
Sheikh Zayed City,Royal Meadows,21,7500000.0,39062.5,4
6 October City,Keeva,21,6800000.0,42713.56783919598,3
6 October City,Joya,20,6550000.0,21749.50471698113,4
Shorouk City,Maadi View,20,5663330.0,36369.98746867168,4
Sheikh Zayed City,Jirian,20,14300000.0,97842.1052631579,4
New Capital City,Jade Park,20,7732500.0,46296.81021254367,3
New Cairo City,Regents Park,20,11900000.0,83333.33333333333,1
Mokattam,Levana,20,44382500.0,113482.8629032258,4
New Cairo City,El Koronfel,19,5200000.0,30000.0,4
Sheikh Zayed City,Karma Residence,19,5150000.0,29062.5,4
Mokattam,Unknown,19,3045000.0,20451.612903225807,2
6 October City,Upville,19,6500000.0,43367.34693877551,4
Sidi Heneish,Unknown,18,12780000.0,116450.21645021645,3
6 October City,Pyramids Heights,18,6000000.0,47177.47894192404,3
New Cairo City,Stei8ht,18,27402000.0,70091.79265700483,4
Hurghada,Kamaran,18,14200000.0,139663.97849462365,5
Sheikh Zayed City,Tara,18,3700000.0,23275.497249259417,2
New Cairo City,Modon Golf Town,18,7450000.0,53285.486443381174,4
Mostakbal City - Future City,Cityzen,18,6300000.0,59047.619047619046,2
Mokattam,The Sierras,17,18000000.0,97333.33333333333,2
Qesm Ad Dabaah,La Vista Bay,17,15000000.0,78571.42857142857,3
Ring Road,Unknown,17,9500000.0,63333.333333333336,3
New Cairo City,Jiwar,17,5376036.0,44621.28712871287,3
Sheikh Zayed City,Cairo Gate,17,24000000.0,118347.18100890207,3
New Cairo City,Dyar Park,17,22000000.0,73076.92307692308,4
Shorouk City,Ivy Residence,16,11700000.0,50833.424470266575,4
Al Alamein,North Edge Towers,16,13992037.5,81349.05523255814,1
Hay Sharq,Muruj,16,6695500.0,43239.13043478261,1
New Cairo City,The Village,16,8500000.0,62960.426179604256,1
6 October City,Cleopatra Square,16,6450000.0,32413.07006814608,3
New Capital City,Scenario,16,5827500.0,29914.852277753205,1
6 October City,Palm Hills   Palm Valley,16,19885850.0,61250.0,3
Nasr City,Al Waha City,16,3550000.0,22586.95652173913,1
Sheikh Zayed City,Beverly Hills Road,16,13750000.0,47366.946778711485,5
6 October City,Soleya,16,12000000.0,42164.50216450216,4
Ras Sedr,Matarma Beach Residence,16,4933500.0,67493.1506849315,1
New Cairo City,Al Andalus El Gedida,15,4100000.0,24500.0,1
Sheikh Zayed City,Green Residence 1,15,6000000.0,31407.0351758794,2
New Cairo City,Swan Lake Katameya,15,130000000.0,144615.38461538462,1
Hay El Haram,El Mariouteya,15,1370000.0,12222.222222222223,1
Heliopolis - Masr El Gedida,Marriott Residence Heliopolis,14,7800000.0,80062.94471811713,1
Shorouk City,1st Neighborhood,14,3050000.0,17303.030303030304,2
Al Alamein,Marina 5,14,30000000.0,113738.73873873874,5
6 October City,New Uptown October,14,3347400.0,19117.647058823528,3
6 October City,Touristic Zone,14,6350000.0,38666.66666666667,1
New Cairo City,Galleria Residences,14,11000000.0,63944.444444444445,2
Sheikh Zayed City,Jeera,14,6600000.0,43593.75,3
Ras Al Hekma,Playa SeaShell,14,32871114.0,110046.9798657718,4
Hurghada,Ancient Sands Resort,14,29000000.0,170230.26315789472,5
Hurghada,Tuban Islands,14,23300000.0,140000.0,5
Sheikh Zayed City,Yasmine District,14,6104400.0,31122.456621004567,2
Shorouk City,Wesal City,14,5353500.0,28235.29411764706,3
Sheikh Zayed City,Via,13,4000000.0,23529.41176470588,2
New Capital City,Qamary,13,4700000.0,36564.298342541435,1
El Nozha,Masaken Sheraton,13,5500000.0,34888.88888888889,1
Hay Wasat,Unknown,13,6000000.0,33170.73170731707,1
6 October City,West Leaves,13,3775000.0,37142.857142857145,2
New Cairo City,Mohamed Naguib Axis,13,4600000.0,22500.0,2
Sheikh Zayed City,Zayed 2000,13,6000000.0,31407.0351758794,3
Sheikh Zayed City,Al Bostan St.,13,5400000.0,31407.0351758794,2
